,Playername,Teamname,Playerposition,2019tar,2019rec,2019recyds,2019avgrecyds,2019rectd,2019rushcar,2019rushyds,2019rushtd,2019fpts,2020tar,2020rec,2020recyds,2020avgrecyds,2020rectd,2020rushcar,2020rushyds,2020rushtd,2020fpts
15,Chris Herndon,Jets,TE,2.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,1.7,73.0,48.0,590.0,12.2,4.0,0.0,0.0,0.0,129.76
16,Mike Gesicki,Dolphins,TE,89.0,51.0,570.0,11.2,5.0,0.0,0.0,0.0,136.0,80.0,50.0,561.0,11.2,4.0,0.0,0.0,0.0,128.9
17,Eric Ebron,Steelers,TE,52.0,31.0,375.0,12.1,3.0,0.0,0.0,0.0,86.5,69.0,43.0,504.0,11.6,4.0,0.0,0.0,0.0,117.67
18,Dallas Goedert,Eagles,TE,86.0,58.0,607.0,10.5,5.0,0.0,0.0,0.0,144.7,67.0,46.0,464.0,10.1,4.0,0.0,0.0,0.0,115.96
19,Jonnu Smith,Titans,TE,44.0,35.0,439.0,12.5,3.0,4.0,78.0,0.0,104.7,59.0,43.0,450.0,10.6,4.0,4.0,16.0,0.0,114.63
20,Blake Jarwin,Cowboys,TE,41.0,31.0,365.0,11.8,3.0,0.0,0.0,0.0,85.5,61.0,43.0,488.0,11.2,4.0,0.0,0.0,0.0,113.76
21,Irv Smith Jr.,Vikings,TE,47.0,36.0,311.0,8.6,2.0,0.0,0.0,0.0,79.1,65.0,46.0,484.0,10.6,3.0,0.0,0.0,0.0,111.36
22,Jimmy Graham,Bears,TE,59.0,38.0,447.0,11.8,3.0,0.0,0.0,0.0,100.7,63.0,42.0,497.0,11.9,3.0,0.0,0.0,0.0,110.47
23,Jace Sternberger,Packers,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,39.0,426.0,10.8,3.0,0.0,0.0,0.0,102.14
24,Ian Thomas,Panthers,TE,30.0,16.0,136.0,8.5,1.0,0.0,0.0,0.0,35.6,63.0,44.0,425.0,9.8,2.0,0.0,0.0,0.0,100.21
25,Dawson Knox,Bills,TE,50.0,28.0,388.0,13.9,2.0,1.0,9.0,0.0,79.7,60.0,37.0,443.0,11.8,3.0,0.0,0.0,0.0,97.96
26,Tyler Eifert,Jaguars,TE,63.0,43.0,436.0,10.1,3.0,0.0,0.0,0.0,106.6,55.0,37.0,421.0,11.4,3.0,0.0,0.0,0.0,97.08
27,Greg Olsen,Seahawks,TE,80.0,52.0,597.0,11.5,2.0,0.0,0.0,0.0,123.7,52.0,33.0,397.0,11.9,4.0,0.0,0.0,0.0,95.7
28,C.J. Uzomah,Bengals,TE,38.0,27.0,242.0,9.0,2.0,0.0,0.0,0.0,63.2,59.0,40.0,373.0,9.2,3.0,0.0,0.0,0.0,95.36
29,Kyle Rudolph,Vikings,TE,48.0,39.0,367.0,9.4,6.0,0.0,0.0,0.0,113.7,50.0,36.0,360.0,10.1,4.0,0.0,0.0,0.0,93.69
30,Dan Arnold,Cardinals,TE,13.0,8.0,127.0,15.9,2.0,0.0,0.0,0.0,32.7,44.0,28.0,350.0,12.5,3.0,0.0,0.0,0.0,81.52
31,Nick Boyle,Ravens,TE,41.0,31.0,321.0,10.4,2.0,0.0,0.0,0.0,75.1,47.0,33.0,306.0,9.2,3.0,0.0,0.0,0.0,81.43
32,Darren Fells,Texans,TE,47.0,34.0,341.0,10.0,7.0,0.0,0.0,0.0,110.1,42.0,30.0,296.0,9.7,3.0,0.0,0.0,0.0,80.6
33,Gerald Everett,Rams,TE,60.0,37.0,408.0,11.0,2.0,1.0,0.0,0.0,89.8,47.0,29.0,336.0,11.5,2.0,0.0,0.0,0.0,74.77
34,Jordan Akins,Texans,TE,55.0,36.0,418.0,11.6,2.0,0.0,0.0,0.0,89.8,42.0,29.0,313.0,10.9,2.0,0.0,0.0,0.0,72.64
